OBJECTID,type_,desc_type,num_ccf,num_ga,statu_ccf,ref_ccf,date_attr,date_echea,attributai,orig_capit,statu_pg,statu_amgt,date_amgt,statu_cert,type_cert,date_cert,dat_ech_ce,statu_leg,date_legal,dat_ech_le,sup_adm_ha,sup_ccf_ha,sup_exp_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,ancien_nom,num_ccc,Shape__Area,Shape__Length
1,4110100,Concession forestière d'Exploitation,005/20,002/89,,,14/01/2020,,CONGO SUNFLOWER,,,valide,,,,,,,,,318799,,,320451,,,,,87669f7d-ad40-4afe-a4c1-12d6110e64eb,,,3233825172.6745,245040.440471693
2,4110100,Concession forestière d'Exploitation,003/20,033/04,Valide,003/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,CONGO KING BAISHENG,Chinois,,en cours,,,,,,,,,158130,165396,,166258,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,3681c206-1538-4aea-a2c6-a8e2af7bed57,"SICOBOIS, 051/14",,1677735008.00891,283386.962288979
3,4110100,Concession forestière d'Exploitation,052b/14,002/98,Valide,052/14 du 15 mai 2014,15/05/2014,2039/05/14 00:00:00+00,BOOMING GREEN DRC,Chinois,valide,valide,,,,,,,,,200533,207978,,215553,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,ff678f6e-93d0-4914-9f42-0e951f3993a3,SEDAF,,2172281398.34586,319141.957083979
4,4110100,Concession forestière d'Exploitation,053/14,001/98,Valide,053/14 du 15 mai 2014,15/05/2014,2039/05/14 00:00:00+00,BOOMING GREEN DRC,Chinois,valide,valide,,,,,,,,,248300,252034,,253738,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,d33fe959-eb9a-4539-929a-2d81f68b1028,SEDAF/SIFORCO,,2556602824.43573,249462.617118794
5,4110100,Concession forestière d'Exploitation,006/20,030/04,Valide,006/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,CONGO SUNFLOWER,Chinois, ,valide,,,,,,,,,192950,217785,,219156,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,ec698f24-03a2-4fac-8a5f-2db9f7fef7b9,"Siforco, 031/11",,2209288395.30432,288811.612658335
6,4110112,Concession forestière de Conservation,036/11,023/03,Valide,036/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,EQUAFOREST,Suisse + Etat Congolais/Nordsud Timber,valide,valide,,,,,,,,,170000,181820,,182801,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,f8667d88-b9da-4a6e-b8d3-512b32cdb322,"SODEFOR, Ex Forabola 036/11",004/2024,1843400792.31683,243750.172039793
7,4110100,Concession forestière d'Exploitation,020/11,093/03,Valide,020/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,SCIBOIS,Fran¦ais/Bonnefous,valide,valide,,,,,,,,,229400,234862,,236586,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,b93d394b-02ec-4194-9de1-c02d9e3efd76,,,2382419587.23317,295788.447262999
8,4110100,Concession forestière d'Exploitation,039/11,028/03,Valide,039/11 du 24 octobre 2011,21/10/2011,2036/10/20 00:00:00+00,SODEFOR,Suisse + Etat Congolais/Nordsud Timber,valide,amenage,,,,,,,,,130000,120288,,253591,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,556dd3b2-650e-425c-b034-3725836e64d1,,,2560409701.67822,229274.29312364
10,4110100,Concession forestière d'Exploitation,048/12,024/05,Valide,048/12 du 27 avril 2012,27/04/2012,2037/04/26 00:00:00+00,LA FORESTIERE DU LAC,Congolais,valide,valide,,,,,,,,,179300,185171,,186223,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,e8567617-45f2-460f-be5b-b2fe0b78a7e4,,,1878336328.91934,245443.546231061
11,4110100,Concession forestière d'Exploitation,015/18,002/04,Valide,015/18 du 27 août 2018,27/08/2018,2036/08/03 00:00:00+00,ETS. KITENGE LOLA,,valide,valide,,,,,,,,,224140,221546,,223057,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,fa4b5981-2734-42fb-ba6e-6840d9e0c71b,"ex.  ITB 006/11, résilié 061/2018",,2247338158.02448,245540.131088716
12,4110100,Concession forestière d'Exploitation,026/11,007/95,Valide,026/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,BOOMING GREEN DRC,Chinois,valide,valide,,,,,,,,,292486,291665,,293697,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,2f1da737-b14b-406a-893d-5c5b3212ca95,SIFORCO,,2958616933.54277,479428.761235649
13,4110100,Concession forestière d'Exploitation,016/20,001/95,Valide,010/11 du 04 août 2011,04/08/2011,2036/08/03 00:00:00+00,MS-INDUSTRIE, ,valide,depose,,,,,,,,,242952,242952,,329086,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,6af5b306-1e2b-40e8-a3f8-9888d2b9f86d,,,3316565894.77527,381009.143370576
14,4110100,Concession forestière d'Exploitation,049/14,041/05,Valide,049/15 du 25 avril 2014,25/04/2014,2039/04/24 00:00:00+00,MAISON NBK SERVICE,Congolais,valide,en cours,,,,,,,,,64464,79730,,80137,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,3eae0bd8-9e2d-43f9-9afe-1fee86237f57,,,808758775.338409,150039.936561878
15,4110100,Concession forestière d'Exploitation,002/15,027/03,Valide,002/15 du 16 août 2015,16:08:2015,2040/08/15 00:00:00+00,SOMIFOR,Chinoise, ,valide,,,,,,,,,195013,0,,187975,USER,2015/06/10 17:02:53+00,RMAMBETA,2015/12/01 15:54:32+00,8e442c75-f785-446d-b1c9-895f9a666251,Sodefor/rétrocédé/réattribué/annulé/réhabilité,,1892873961.95258,259883.945527333
16,4110100,Concession forestière d'Exploitation,018/11,033/05,Valide,018/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,IFCO,Libanais, ,amenage,,,,,,,,,250000,261753,,263667,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,6e88e52c-dfd0-4f03-952e-8c6624b458ee,"Trans-M, Cotrefor",,2655188795.67343,322668.981165402
17,4110100,Concession forestière d'Exploitation,007/20,009/03,Valide,007/20,14:01:20,,CONGO SUNFLOWER,Chinois, ,en cours,, , ,,, ,,,388678,388678,0,391597,,,,,ffeb2e05-4fe6-4ce6-b83f-ad34e4146405,"ex. Forabola GA 009/03, resilié 057/14",,3942726069.70128,461117.18379611
18,4110100,Concession forestière d'Exploitation,022/11,021/05,Valide,022/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,BEGO CONGO, ,valide,valide,,,,,,,,,63250,37942,,95793,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,36475c52-3bc4-4660-b3c0-f65d4a000782,,,964393620.519019,161536.805651294
19,4110100,Concession forestière d'Exploitation,042/11,011/03,Valide,042/11 du 24 octobre 2011,24/11/2011,2036/11/23 00:00:00+00,SODEFOR,Suisse/Nordsud Timber,valide,valide,,,,,,,,,250000,383255,,293458,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,dacbd150-fc53-4375-965f-7facf4ee6a2b,FORABOLA,,2955532700.48105,284921.637888179
20,4110112,Concession forestière de Conservation,015/11,005/03,Valide,015/11 du 24 août 2011,04/08/2011,2036/08/03 00:00:00+00,EQUAFOREST,Suisse/Nordsud Timber,valide,valide,,,,,,,,,96000,183773,,217529,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,a36659cb-a59b-4d1b-bc01-79bbe156da52,"SOFORMA, ex Forabola015/11",003/2024,2191303200.49574,215259.274764999
21,4110100,Concession forestière d'Exploitation,007/18,003/92,Valide,002/11 du 04/08/2011,11/06/2018,,ETS. KITENGE LOLA,,,valide,,,,,,,,,140224,140224,,148475,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,292f1da1-f9e4-4755-a302-5f46dd60222a,La Forestière/Kitenge/La Forestière,,1495690707.67233,204997.417118449
22,4110100,Concession forestière d'Exploitation,011/11,042/05,Valide,011/11 du 04 août 2011,04/08/2011,2036/08/03 00:00:00+00,MAISON NBK SERVICE,Congolais,valide,en cours,,,,,,,,,72600,168598,,13903,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,64e28bb2-cbc9-49d2-87b9-64d513847748,,,141245853.661133,70706.4249807322
23,4110100,Concession forestière d'Exploitation,012/20,002/01,Valide,0,11/06/2020,2036/08/03 00:00:00+00,GROUPE SERVICES SARL, ,valide,en cours,,,,,,,,,147000,127720,,128191,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,27b8e806-aa7e-4cca-9ad9-c9d0b56258d2,ex. ITB 002/01,,1295543518.61151,213917.985154442
24,4110100,Concession forestière d'Exploitation,055/14,004/91,Valide,055/14 du 26 juin 2014,26/06/2014,2039/06/25 00:00:00+00,SCTP SA (ONATRA),Etat Congolais,valide,depose,,,,,,,,,74023,121214,,121569,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,c41b6780-dd96-44eb-be84-4863f1419419,ONATRA,,1229550128.37115,172677.263763039
25,4110100,Concession forestière d'Exploitation,006/18,002/92,Valide,001/11 du 04/08/2011,,,ETS. KITENGE LOLA, , ,en cours,,,,,,,,,151800,151800,,115680,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,4f572141-792b-4012-9bab-34f1d1189091,La Forestière/Kitenge/La Forestière,,1165042128.05669,281364.118866249
26,4110100,Concession forestière d'Exploitation,054/14,003/98,Valide,054/14 du 15 mai 2014,15/05/2014,2039/05/14 00:00:00+00,BOOMING GREEN DRC,Chinois,valide,valide,,,,,,,,,219200,212157,,213639,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,f8f6725d-0a63-43cf-bdd5-17831cdd374f,SEDAF/SIFORCO,,2152098262.01889,285866.260667746
27,4110100,Concession forestière d'Exploitation,014/11,042/04,Valide, , ,,SICOBOIS, ,non_elabore,en cours,,,,,,,,,127300,85984,,126673,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,a3eb7650-2226-4a46-8766-7026d4667ad9,"SICOBOIS, 014/11",,1277509579.5108,195279.861290243
29,4110100,Concession forestière d'Exploitation,027/11,026/04,Valide,027/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,BOOMING GREEN DRC,Chinois,valide,valide,,,,,,,,,249050,212868,,214376,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:56+00,63c75046-efd8-4d08-bf9c-707cebf2aa6f,SIFORCO,,2159312640.24738,326019.150311646
30,4110100,Concession forestière d'Exploitation,016/11,028/98,Valide,001/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,SEFOCO,Chinois, ,en cours,,,,,,,,,189738,175231,,176562,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:56+00,d72f6ea2-cb4e-4943-9296-15ca7cd3c870,"ex. Sefoco, 016/11",,1777530073.45504,230986.85903533
31,4110100,Concession forestière d'Exploitation,004/20,032/04,Valide,004/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,CONGO KING BAISHENG,Chinois,,en cours,,,,,,,,,109320,92971,,93516,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,80b729ab-afa2-4c5f-aee8-bc826a286a2d,"SICOBOIS, 033/11",,943084307.386353,180905.728072641
32,4110100,Concession forestière d'Exploitation,009/20,006/03,Valide,009/20 du 14 janvier 2020,14:01:2020,2045/02/05 00:00:00+00,CONGO SUNFLOWER,Chinois, ,en cours,, , ,,, ,,,175000,0,0,250885,,,"Soforma, 034/14",,22acad93-7472-4c4a-bfb1-1ba9c5c89781, ,,2525817072.09564,235953.12877063
33,4110100,Concession forestière d'Exploitation,003/15,003/03,Valide,003/15 du 16 août 2015,24/10/2011,2040/08/15 00:00:00+00,FODECO,Chinoise, ,valide,,,,,,,,,200000,261059,,262776,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,abb3b1d3-96d2-4c1b-8a87-1e996aa69824,"Soforma/retrocédé/réattribué/annulé, réhatribué",,2647968487.82922,257634.48581165
34,4110100,Concession forestière d'Exploitation,017/11,088/03,Valide,002/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,MEGABOIS,Chinois,valide,en cours,,,,,,,,,121216,135511,,136538,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,d169ffbd-5f9b-421f-b9f0-ac6723c86a5b,"Megabois, 017/11",,1374610583.8046,194487.031412566
35,4110100,Concession forestière d'Exploitation,064/14,010/03,Valide,064/14 du 10 juillet 2014,10/07/2014,2039/08/09 00:00:00+00,SODEFOR,Suisse/Nordsud Timber,valide,valide,,,,,,,,,205000,262760,,257896,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 15:54:32+00,3611cc08-485e-48aa-a10e-125106ea1780,FORABOLA,,2597580326.07263,239600.67366346
36,4110100,Concession forestière d'Exploitation,001/15,033/03,Valide,001/15 du 16 août 2015,16/08/2015,2040/08/17 00:00:00+00,SOMIFOR,Chinoise, ,valide,,,,,,,,,115000,201564,,202951,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,12d071bf-1c91-41b4-a3ad-250549c076ec,Soforma/retrocédé/réattribué/annulé/réhabilité,,2044647200.5867,322125.490285639
37,4110100,Concession forestière d'Exploitation,004/11,045/04,Valide,004/11 du 04 août 2011,04/08/2011,2036/08/03 00:00:00+00,BAKRI BOIS CORPORATION,Libanais,valide,valide,,,,,,,,,229476,229476,,197026,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,f6b744a8-dac9-49ab-bc97-4ec2cd9f58d7,,,1983783530.14342,275804.645098845
38,4110100,Concession forestière d'Exploitation,037/11,020/03,Valide,037/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,SODEFOR,Suisse + Etat Congolais/Nordsud Timber,valide,valide,,,,,,,,,181000,181820,,218007,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:55+00,e2a1c515-4380-43a8-b2df-e8f21a95f4f2,,,2196370676.27603,227619.402353124
39,4110100,Concession forestière d'Exploitation,025/11,037/03,Valide,025/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,ETS. MOTEMA,Congolais,valide,amenage,,,,,,,,,250000,210247,,211781,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,c638c33a-9a66-455b-ad3e-0607c618540d,,,2132725347.96999,238593.060864872
40,4110100,Concession forestière d'Exploitation,001/19,018/95,Valide,,24/08/2019,2036/10/23 00:00:00+00,BOOMING GREEN DRC,,valide,valide,,,,,,,,,120000,125465,,148645,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,306f6961-7e92-40b0-86e4-a3b3ca2e6187,"Bois021/11, rési13/19/booming001/19/remis C.Bois",,1502088969.65833,176511.625469666
41,4110100,Concession forestière d'Exploitation,024/11,036/03,Valide,024/11 du 24 octobre 2011,24/10/2011,2036/10/23 00:00:00+00,ETS. MOTEMA,Congolais,valide,amenage,,,,,,,,,250000,179473,,178805,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,790f8aa2-129c-4999-b4a7-869fbf93f31f,,,1800278415.61414,248023.89170852
42,4110100,Concession forestière d'Exploitation,023/11,008/93,Valide,010/18 du 10 aout 2018,10/08/2018,2036/10/23 00:00:00+00,SEFOCO, , ,en cours,,,,,,,,,224000,242999,,244844,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:44:56+00,38fc76ff-2dd5-4551-8b9d-76cefec05b7d,"Ex. SEFOCO 023/11, résilié 051/18",,2464968351.13341,292768.196264992
43,4110100,Concession forestière d'Exploitation,008/20,001/04,Valide,008/20 du 14 janvier 2020,14/01/2020,2045/02/05 00:00:00+00,CONGO KING BAISHENG,Chinois, ,valide,,,,,,,,,214700,256545,,224368,USER,2015/06/10 17:06:24+00,RMAMBETA,2015/12/01 12:45:18+00,4bc221c2-6a9a-4609-ba49-38c3ef3bd374,"ITB, 013/11",,2258981741.53388,239776.338697509
44,4110112,Concession forestière de Conservation,,,valide,,,,ERA CONGO,,,,,,,,,,,,160350,,,328721,,,,,0af01c1a-33c7-4240-a142-4505279ea974,,014/84,3313352526.48175,358716.445567058
